logLD50,sigma,n_obs,Response,Response_Unit,Endpoint,smiles,LD50_class
3.81291335664286,1.001,1,6500,mg/kg,LD50,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,3
3.06069784035361,0.001,1,1150,mg/kg,LD50,c1ccc(-c2ccc(CCOc3ncnc4ccccc34)cc2)cc1,2
3.65494622658434,0.001,1,4518,mg/kg,LD50,c1ccc(CCc2ccccc2)cc1,2
3.05461305455689,0.001,1,1134,mg/kg,LD50,C(CCOCC1CO1)COCC1CO1,2
2.85003325768977,0.001,1,708,mg/kg,LD50,c1ccc2c(C(CCN3CCOCC3)CCN3CCOCC3)cccc2c1,2
2.95999483832842,0.001,1,912,mg/kg,LD50,c1ccc2c(NCCCN3CCOCC3)n[nH]c2c1,2
3,1.001,1,1000,mg/kg,LD50,c1ccc2oc(C3(Cn4ccnc4)OCCCO3)cc2c1,2
3,1.001,1,1000,mg/kg,LD50,c1ccc2oc(C3(Cn4ccnc4)OCCO3)cc2c1,2
3,1.001,1,1000,mg/kg,LD50,c1ccc2oc(C3(Cn4cncn4)OCCO3)cc2c1,2
2.85733249643127,0.001,1,720,mg/kg,LD50,c1ccc(Cn2cncn2)cc1,2
3.22065114334658,0.107707791039747,2,2125,mg/kg,LD50,c1ccc(CNc2[nH]cnc3ncnc2-3)cc1,2
3.2148438480477,0.001,1,1640,mg/kg,LD50,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,2
3.32221929473392,0.001,1,2100,mg/kg,LD50,c1ccc(CNc2ncnc3c2NCN3)cc1,2
1.69897000433602,0.001,1,50,mg/kg,LD50,C1CCC(CNC2=NCCS2)CC1,0
2.41497334797082,0.001,1,260,mg/kg,LD50,c1nnc(NCNc2nncs2)s1,1
3.69897000433602,1.001,1,5000,mg/kg,LD50,c1ccc(COc2ccc3ccccc3c2)cc1,2
3.5854607295085,0.101373577297671,3,3850,mg/kg,LD50,c1ccc(OCC2CO2)cc1,2
3.22530928172586,0.001,1,1680,mg/kg,LD50,C(Oc1nc(OCC2CO2)nc(OCC2CO2)n1)C1CO1,2
2.68039134493664,0.0281788311612964,2,450,mg/kg,LD50,C(OCC1CO1)C1CO1,1
3.30102999566398,1.001,1,2000,mg/kg,LD50,c1ccc(CSCc2ccccc2)cc1,2
1.50514997831991,0.001,1,32,mg/kg,LD50,C1OC1CSCC1CO1,0
1.92941892571429,0.001,1,85,mg/kg,LD50,C.C.C.C.C.O=C(C(F)(F)F)C(F)(F)Cl.O=C(C(F)(F)F)C(F)(F)Cl,1
3.36172783601759,0.001,1,2300,mg/kg,LD50,NCc1ccc(O)cc1CNC(N)CN,2
3.50514997831991,1.001,1,3200,mg/kg,LD50,O=S(=O)([O-])c1cc(O)ccc1O.[Na+],2
2.59129291272865,0.0724649189529277,2,460,mg/kg,LD50,c1ccc2ncccc2c1,1
3.43136376415899,0.001,1,2700,mg/kg,LD50,c1cc2ccc3cccc4ccc(c1)c2c34,2
3.60205999132796,1.001,1,4000,mg/kg,LD50,c1ccc2cccc-2cc1,2
